t_s,width_x_m,width_3d_m,width_norm
2.285616666666666852e+00,8.270443698905044494e-02,1.275329249425364020e-01,4.187431673428452239e-01
2.302300000000000235e+00,8.285865571248654526e-02,1.276886092299648057e-01,4.206147537923124458e-01
2.318983333333333174e+00,8.279428626145007852e-02,1.276450867991421323e-01,4.198335711341029119e-01
2.335666666666666558e+00,8.252782258018795392e-02,1.273618606529227371e-01,4.165997885945140200e-01
2.352349999999999941e+00,8.304170863790871771e-02,1.279031859054149400e-01,4.228362698775329775e-01
2.369033333333333324e+00,8.295045193610633971e-02,1.278001399153986251e-01,4.217287856323584938e-01
2.385716666666666708e+00,8.263968798233861657e-02,1.274812467708677788e-01,4.179573784264395409e-01
2.402400000000000091e+00,8.238000476796825122e-02,1.272049213188583827e-01,4.148058831064108110e-01
2.419083333333333474e+00,8.262800400358955022e-02,1.274431518718108225e-01,4.178155825678343538e-01
2.435766666666666858e+00,8.279472083586281173e-02,1.276088978599174140e-01,4.198388450954224638e-01
2.452450000000000241e+00,8.279471357714285329e-02,1.276089727067654944e-01,4.198387570041608452e-01
2.469133333333333180e+00,8.263087482275136009e-02,1.274350162269809184e-01,4.178504226062058069e-01
2.485816666666666563e+00,8.250418427083966444e-02,1.273156676885631167e-01,4.163129159082483710e-01
2.502499999999999947e+00,8.238134606344946209e-02,1.271955120775653258e-01,4.148221609641924990e-01
2.519183333333333330e+00,8.278635189981015108e-02,1.275944902634009170e-01,4.197372803375018502e-01
2.535866666666666713e+00,8.242875303008526111e-02,1.272432057820467033e-01,4.153974882291900372e-01
2.552550000000000097e+00,8.232560804476185545e-02,1.271448079642041040e-01,4.141457286985661956e-01
2.569233333333333480e+00,8.243690362159539209e-02,1.272580592715628067e-01,4.154964031747013786e-01
2.585916666666666863e+00,8.257668654886030080e-02,1.274024456355890567e-01,4.171927979230619088e-01
2.602600000000000247e+00,8.213166227031692967e-02,1.269524851732735660e-01,4.117920178436520473e-01
2.619283333333333186e+00,8.272904603942524138e-02,1.275483833169910319e-01,4.190418208668111877e-01
2.635966666666666569e+00,8.230029961316770448e-02,1.271191925906695330e-01,4.138385875384429924e-01
2.652649999999999952e+00,8.243877993715409414e-02,1.272453521576473456e-01,4.155191739945885421e-01
2.669333333333333336e+00,8.259313053380501479e-02,1.274076695215077826e-01,4.173923608471482583e-01
2.686016666666666719e+00,8.297713757203567519e-02,1.278049792762226411e-01,4.220526404373261542e-01
2.702700000000000102e+00,8.318232845555589838e-02,1.279953833390559681e-01,4.245428210625715737e-01
2.719383333333333486e+00,8.322531518218639901e-02,1.280418432218501656e-01,4.250645046381844594e-01
2.736066666666666869e+00,8.327530288924545054e-02,1.280800429142321395e-01,4.256711515685127623e-01
2.752750000000000252e+00,8.317423284241878823e-02,1.279912029201240864e-01,4.244445733303250923e-01
2.769433333333333191e+00,8.288151844207358732e-02,1.277037559519650645e-01,4.208922141028347830e-01
