t,gx,gy,gz,ax,ay,az
4.653118430346259715e-01,-1.139510117145899892e-01,-4.685835995740149362e-02,-1.256656017039403661e-01,9.402877697841725890e+00,5.251798561151078681e-01,3.774580335731414937e+00
4.702679891932849410e-01,-1.075612353567625135e-01,-3.514376996805111675e-02,-1.118210862619808260e-01,9.364508393285371213e+00,5.659472422062350461e-01,3.645083932853717013e+00
4.752241353519439104e-01,-1.064962726304579388e-01,-1.490947816826411129e-02,-9.797657082002129980e-02,9.410071942446043280e+00,5.299760191846523139e-01,3.599520383693045389e+00
4.801802815106028799e-01,-1.064962726304579388e-01,1.171458998935037341e-02,-9.158679446219382403e-02,9.407673860911270225e+00,5.419664268585131506e-01,3.657074340527577849e+00
4.851364276692618493e-01,-1.096911608093716767e-01,2.875399361022364098e-02,-9.265175718849839870e-02,9.402877697841725890e+00,6.378896882494005105e-01,3.863309352517985573e+00
4.900925738279208188e-01,-1.150159744408945639e-01,3.088391906283280072e-02,-8.519701810436634826e-02,9.378896882494004217e+00,6.906474820143885252e-01,3.961630695443644878e+00
4.950487199865797883e-01,-1.203407880724174650e-01,3.088391906283280072e-02,-7.348242811501597138e-02,9.366906474820144268e+00,7.362110311750599267e-01,3.877697841726618577e+00
5.000048661452387577e-01,-1.288604898828540901e-01,3.727369542066027996e-02,-6.709265175718849561e-02,9.352517985611511264e+00,7.601918465227818222e-01,3.916067146282973699e+00
5.049610123038976717e-01,-1.405750798722044670e-01,4.579339723109691201e-02,-6.176783812566560145e-02,9.292565947242206192e+00,8.129496402877698369e-01,4.007194244604316502e+00
5.099171584625566966e-01,-1.565495207667731703e-01,4.259850905218317413e-02,-5.111821086261980618e-02,9.278177458033573188e+00,7.721822541966426590e-01,4.057553956834532016e+00
5.148733046212156106e-01,-1.661341853035143701e-01,3.514376996805111675e-02,-4.472843450479233041e-02,9.374100719424459882e+00,5.683453237410072134e-01,3.913669064748201532e+00
5.198294507798746356e-01,-1.821086261980830734e-01,3.301384451544196047e-02,-5.218317358892438779e-02,9.362110311750599934e+00,3.932853717026378870e-01,3.841726618705036067e+00
5.247855969385335495e-01,-1.842385516506922227e-01,4.792332268370606829e-02,-6.496272630457934627e-02,9.268585131894484519e+00,4.076738609112710021e-01,3.884892086330935079e+00
5.297417430971925745e-01,-1.810436634717784987e-01,5.750798722044728195e-02,-7.241746538871139671e-02,9.232613908872901121e+00,4.700239808153477417e-01,3.997601918465227833e+00
5.346978892558514884e-01,-1.821086261980830734e-01,5.324813631522896940e-02,-6.815761448349308416e-02,9.134292565947241371e+00,4.436450839328537343e-01,4.127098321342925757e+00
5.396540354145105134e-01,-1.725239616613418459e-01,4.792332268370606829e-02,-6.283280085197018305e-02,9.076738609112709355e+00,3.549160671462829875e-01,4.239808153477218511e+00
5.446101815731694273e-01,-1.671991480298189447e-01,3.620873269435569836e-02,-6.283280085197018305e-02,9.110311750599519698e+00,2.517985611510791255e-01,4.225419664268585507e+00
5.495663277318284523e-01,-1.671991480298189447e-01,1.490947816826411129e-02,-7.561235356762513460e-02,9.155875299760191766e+00,2.709832134292565753e-01,4.143884892086330929e+00
5.545224738904873663e-01,-1.629392971246006461e-01,0.000000000000000000e+00,-8.732694355697551147e-02,9.184652278177457774e+00,3.045563549160671402e-01,3.997601918465227833e+00
