frame_idx,timestamp,state,is_lost,is_keyframe,x,y,z,q_x,q_y,q_z,q_w
152,5.071733,2,false,false,0.034957599,-0.171216086,0.317432493,-0.002449380,-0.109109014,-0.029440867,-0.993590772
153,5.105100,2,false,false,0.034221046,-0.170949325,0.317673534,-0.001080826,-0.109162197,-0.029956562,-0.993571877
154,5.138467,2,false,false,0.033447754,-0.170328408,0.317660242,-0.000135232,-0.109490477,-0.029685792,-0.993544459
155,5.171833,2,false,false,0.032885987,-0.169769987,0.318169057,0.001514882,-0.109178558,-0.029358303,-0.993587375
156,5.205200,2,false,true,0.032030113,-0.169059962,0.318651319,-0.002984117,0.107845470,0.029069826,0.993738115
157,5.238567,2,false,false,0.031598505,-0.168568522,0.318925440,-0.002869601,0.105778232,0.029060612,0.993960917
158,5.271933,2,false,false,0.030762143,-0.168351367,0.318909526,-0.002965468,0.103667401,0.028357925,0.994203269
159,5.305300,2,false,false,0.030013591,-0.168332413,0.319109559,-0.003144793,0.101064712,0.027446007,0.994496286
160,5.338667,2,false,false,0.029425802,-0.168151066,0.319423348,-0.003684760,0.099329419,0.026233699,0.994701922
161,5.372033,2,false,false,0.028658129,-0.168411091,0.320345372,-0.004713788,0.098847494,0.025403125,0.994767189
162,5.405400,2,false,false,0.028099030,-0.168448254,0.320435524,-0.003681483,0.096474454,0.024006946,0.995039105
163,5.438767,2,false,false,0.027576776,-0.168503836,0.320786387,0.002241439,-0.093562111,-0.022753004,-0.995350957
164,5.472133,2,false,false,0.027371181,-0.168544844,0.320990175,0.001165571,-0.093171768,-0.022643773,-0.995391905
165,5.505500,2,false,false,0.027452640,-0.168784633,0.320662975,-0.000725970,-0.094032638,-0.023247316,-0.995297492
166,5.538867,2,false,false,0.028479073,-0.168790102,0.320464373,-0.002751769,-0.093413278,-0.026118090,-0.995281041
167,5.572233,2,false,false,0.030111700,-0.168803751,0.320431411,-0.003538259,-0.094733894,-0.031080712,-0.995011032
168,5.605600,2,false,false,0.032084811,-0.168641865,0.320168823,-0.005095175,-0.092876494,-0.035784081,-0.995021403
169,5.638967,2,false,false,0.033659130,-0.168167993,0.319953442,-0.006990913,-0.090695769,-0.038245879,-0.995119452
170,5.672333,2,false,false,0.035067029,-0.167517424,0.319472522,-0.008341859,-0.088505350,-0.039866116,-0.995242655
